8.75,0.56501,0.247742,1.43228,0.365773,5841.05,66.9797,5498.29,140.159
9.25,0.661634,0.33389,1.88598,0.478567,5698.35,102.041,6245.92,287.263
9.75,0.792367,0.422706,2.63274,0.839061,5490.19,77.478,7331.09,276.501
10.25,0.931411,0.472677,3.29589,1.1106,5801.39,278.926,8212.95,274.251
10.75,1.08358,0.497041,4.4981,1.47848,6390.53,305.779,9097.07,403.383
11.25,1.28603,0.534212,6.09383,1.61753,7254.99,451.868,10156.8,272.786
11.75,1.65237,0.63284,7.95143,1.54106,8134.1,296.412,11124.1,409.5
12.25,2.16406,0.474998,10.4419,1.97205,9018.93,339.253,12301.4,544.428
12.75,2.87414,0.684573,12.801,2.52139,9809.45,323.049,13570.9,386.287
13.25,4.03741,0.794506,15.2687,3.31272,10999.3,589.559,14952.4,299.369
13.75,5.70457,0.796089,17.7333,4.08904,12405.9,272.517,16595.6,502.307
14.25,7.2349,1.21611,20.1467,4.4214,13375.6,396.959,18016.5,571.652
14.75,10.5221,2.30099,22.2569,5.09743,14435.6,334.643,19415.3,392.935
15.25,12.3861,1.60547,23.5774,5.43986,15607.5,315.227,20833.2,506.211
15.75,14.7999,2.15718,25.7532,6.51069,17120.1,397.344,23036,1033.04
16.25,16.312,2.40368,27.5244,6.82759,18255.7,485.063,24833,590.352
16.75,17.7929,1.63113,28.5181,5.54171,19495.6,450.414,27013.2,859.189
17.25,20.1733,2.33399,28.9837,4.9274,21894.1,789.491,28947.8,742.202
17.75,21.6462,2.05881,29.1489,5.00298,24051.6,686.994,31530.2,835.766
18.25,22.5011,2.72507,30.3112,5.10416,26198.7,622.481,34109,910.535
18.75,23.3256,3.19815,31.0253,5.85081,28110.8,770.769,37162.3,992.432
19.25,25.0704,2.45571,31.1546,6.1041,30088.7,909.921,39849.8,883.059
19.75,25.6523,3.16302,32.0235,6.56842,32513.1,625.67,43362.7,970.244
20.25,27.2378,4.78025,31.9012,6.19925,35472.2,968.145,45565.9,790.156
20.75,28.1946,4.94492,31.6343,5.41837,38531.2,862.777,48161.3,841.246
21.25,29.8114,4.47885,32.5125,5.96096,41419.7,748.08,51489,1163.67
21.75,30.7438,5.42309,32.2838,2.68841,43737.4,974.123,37162.3,992.432
22.25,30.5868,5.6497,36.0858,7.68331,47301.2,692.846,39849.8,883.059
22.75,31.0648,5.77841,34.349,2.59282,49172.8,481.271,43362.7,970.244
23.25,30.9236,5.15916,34.1193,3.46428,50677.2,578.432,45565.9,790.156
23.75,30.9254,4.77595,34.5281,3.25233,53091.7,989.117,48161.3,841.246
