s77775_MgSiO3_Us	s77775_MgSiO3_Us_err	s77775_MgSiO3_Temp	s77775_MgSiO3_Temp_err	s77775_MgSiO3_Reflectivity	s77775_MgSiO3_Reflectivity_err
15.3	0.12390611	11191.424	637.73871	0.027751226	0.0027751226
15.4	0.12390611	11779.649	661.8042	0.030548844	0.0030548845
15.5	0.12390611	12113.071	737.24457	0.028962553	0.0028962553
15.6	0.12390611	12160	624.55609	0.034089867	0.0034089866
15.7	0.12390611	12080.848	608.52612	0.033836726	0.0033836726
15.8	0.12390611	12256.34	618.4599	0.031710967	0.0031710968
15.9	0.12390611	12615.069	709.21484	0.025712695	0.0025712694
16	0.12390611	12743.475	716.20361	0.030582907	0.0030582906
16.1	0.12390611	13108.254	585.83185	0.037411187	0.0037411186
16.200001	0.12390611	13010.038	762.50647	0.036678839	0.003667884
16.299999	0.12390611	13078.845	652.48877	0.037377987	0.0037377987
16.4	0.12390611	13650.424	937.4765	0.040713567	0.0040713567
16.5	0.12390611	13786.383	833.39233	0.038590793	0.0038590792
16.6	0.12390611	14111.729	722.29926	0.040223673	0.0040223673
16.700001	0.12390611	14123.321	698.85834	0.039824333	0.0039824331
16.799999	0.12390611	14630.868	797.86353	0.041718688	0.0041718688
16.9	0.12390611	14630.271	814.81238	0.060619015	0.0060619013
17	0.12390611	14843.563	707.33063	0.06738963	0.0067389631
17.1	0.12390611	15269.39	751.43719	0.067961149	0.0067961151
17.200001	0.12390611	15769.914	822.43164	0.07393536	0.0073935362
17.299999	0.12390611	15990.1	761.2301	0.080195077	0.0080195079
17.4	0.12390611	16306.301	726.12494	0.087051243	0.0087051243
17.5	0.12390611	16468.113	779.40802	0.089369573	0.0089369575
17.6	0.12390611	17061.066	799.5481	0.096695624	0.0096695628
17.700001	0.12390611	17764.459	841.74359	0.092500851	0.0092500849
17.799999	0.12390611	17848.484	849.44714	0.092239231	0.0092239231
17.9	0.12390611	18493.281	923.94513	0.090481453	0.0090481453
18	0.12390611	18213.504	766.77026	0.090900078	0.0090900082
18.1	0.12390611	18349.211	825.78912	0.088059425	0.0088059427
18.200001	0.12390611	18890.785	969.54254	0.090450943	0.0090450943
18.299999	0.12390611	19139.232	898.94464	0.10686197	0.010686197
18.4	0.12390611	19764.312	912.69415	0.12270141	0.01227014
18.5	0.12390611	19997.859	940.52161	0.10544259	0.010544259
18.6	0.12390611	19946.061	1029.2206	0.10766698	0.010766698
18.700001	0.12390611	20574.305	969.92157	0.11651995	0.011651995
18.799999	0.12390611	20946.77	980.11133	0.12451689	0.012451689
18.9	0.12390611	21385.646	1048.9507	0.12152734	0.012152733
19	0.12390611	21464.916	1024.4976	0.11825559	0.011825559
19.1	0.12390611	21748.223	970.89594	0.11968636	0.011968636
19.200001	0.12390611	22412.77	1031.957	0.12550503	0.012550503
19.299999	0.12390611	22417.756	871.93182	0.145611	0.0145611
19.4	0.12390611	22879.98	929.50446	0.15120405	0.015120405
19.5	0.12390611	23320.445	1153.2817	0.14500453	0.014500452
19.6	0.12390611	23464.598	1252.9744	0.14853382	0.014853382
19.700001	0.12390611	23976.584	1161.4279	0.16923527	0.016923528
19.799999	0.12390611	23832.041	1087.413	0.16644439	0.016644439
19.9	0.12390611	25144.732	1119.8483	0.17772155	0.017772155
20	0.12390611	25615.432	1257.3427	0.18980674	0.018980674
20.1	0.12390611	25558.924	993.36469	0.1707707	0.01707707
20.200001	0.12390611	25892.084	1303.9084	0.17568754	0.017568754
20.299999	0.12390611	26006.402	1221.7545	0.1558114	0.01558114
20.4	0.12390611	26478.701	1165.4987	0.14888451	0.014888451
20.5	0.12390611	26344.52	1140.0391	0.14634067	0.014634067
20.6	0.12390611	26067.781	1099.4315	0.13745357	0.013745357
20.700001	0.12390611	27375.092	1354.4255	0.15589415	0.015589414
20.799999	0.12390611	27687.328	1229.8619	0.17295036	0.017295036
20.9	0.12390611	29275.191	1178.6637	0.19000691	0.01900069
