s77776_MgSiO3_Us	s77776_MgSiO3_Us_err	s77776_MgSiO3_Temp	s77776_MgSiO3_Temp_err	s77776_MgSiO3_Reflectivity	s77776_MgSiO3_Reflectivity_err
13.7	0.12390611	7307.5381	514.51837	0.014830303	0.0044490909
13.8	0.12390611	8042.3477	546.87195	0.012095261	0.0036285785
13.9	0.12390611	8369.5332	539.44653	0.010004627	0.0030013879
14	0.12390611	8193.8516	644.66199	0.010318697	0.0030956091
14.1	0.12390611	8485.6807	602.05219	0.01125789	0.0033773668
14.2	0.12390611	8469.0322	590.9848	0.012286054	0.0036858162
14.3	0.12390611	8690.0479	524.70673	0.012800545	0.0038401634
14.4	0.12390611	9264.7324	648.80109	0.013118616	0.0039355848
14.5	0.12390611	9040.8545	579.29156	0.015897332	0.0047691995
14.6	0.12390611	9516.9834	533.9046	0.015041333	0.0045123999
14.7	0.12390611	9643.2559	551.5271	0.014787673	0.004436302
14.8	0.12390611	9921.2559	518.03406	0.017531559	0.0052594678
14.9	0.12390611	10242.73	594.22559	0.019178487	0.005753546
15	0.12390611	10454.48	623.46466	0.028263807	0.0084791426
15.1	0.12390611	10640.804	597.38007	0.029990327	0.0089970976
15.2	0.12390611	10933.076	601.81384	0.027337063	0.0082011186
15.3	0.12390611	11147.679	631.646	0.028853459	0.008656038
15.4	0.12390611	11334.259	657.7934	0.032029085	0.0096087251
15.5	0.12390611	11600.753	642.07861	0.025386024	0.0076158075
15.6	0.12390611	11897.142	735.98981	0.029737098	0.0089211296
15.7	0.12390611	12037.849	640.70166	0.027809907	0.008342972
15.8	0.12390611	12264.437	625.57263	0.024795473	0.007438642
15.9	0.12390611	12652.863	751.18048	0.029430766	0.0088292295
16	0.12390611	12875.052	685.80768	0.027402697	0.0082208095
16.1	0.12390611	12849.653	719.20612	0.026870219	0.0080610653
16.200001	0.12390611	12969.643	749.24628	0.032212459	0.0096637374
16.299999	0.12390611	12988.935	745.57025	0.032276466	0.0096829403
16.4	0.12390611	13447.923	644.40436	0.030453555	0.0091360668
16.5	0.12390611	13648.747	751.30829	0.032851711	0.0098555135
16.6	0.12390611	13787.592	720.19592	0.040246673	0.012074002
16.700001	0.12390611	14212.423	807.50183	0.045719948	0.013715984
16.799999	0.12390611	14230.763	782.69995	0.053927392	0.016178217
16.9	0.12390611	14915.936	711.61493	0.061956253	0.018586876
17	0.12390611	15402.177	855.51233	0.065525055	0.019657517
17.1	0.12390611	15838.599	879.87537	0.063434221	0.019030266
17.200001	0.12390611	16001.27	821.14508	0.07022962	0.021068886
17.299999	0.12390611	16075.98	851.92786	0.074584231	0.022375269
17.4	0.12390611	16375.597	850.71899	0.083914444	0.025174333
17.5	0.12390611	16940.533	989.96826	0.083681196	0.025104359
17.6	0.12390611	17324.463	857.27136	0.091770977	0.027531292
17.700001	0.12390611	17709.822	926.04486	0.091051906	0.027315572
17.799999	0.12390611	17814.496	874.85645	0.091948159	0.027584448
17.9	0.12390611	18426.604	1059.2737	0.092751242	0.027825372
18	0.12390611	18620.316	1035.5352	0.094598509	0.028379552
18.1	0.12390611	18644.738	1052.7675	0.0887243	0.02661729
18.200001	0.12390611	18770.607	936.073	0.082385324	0.024715597
18.299999	0.12390611	19151.518	970.82281	0.089553207	0.026865963
18.4	0.12390611	19693.686	1026.6436	0.099529713	0.029858913
18.5	0.12390611	19861.123	897.23505	0.10918301	0.032754902
18.6	0.12390611	20352.191	1041.9259	0.11771174	0.035313521
18.700001	0.12390611	20540.85	1146.7703	0.1269574	0.038087219
18.799999	0.12390611	21257.219	1127.506	0.13624275	0.040872823
18.9	0.12390611	21468.141	1265.6448	0.14552827	0.04365848
19	0.12390611	21587.672	1321.3826	0.1548138	0.04644414
19.1	0.12390611	21937.041	1284.6552	0.16409931	0.049229793
19.200001	0.12390611	22680.727	1706.9525	0.17338485	0.052015454
