30744,,30747,,30750,,30753,,31844,,31849,,31854,,31859,
Us (km/s),T(K),Us (km/s),T(K),Us (km/s),T(K),Us (km/s),T(K),Us (km/s),T(K),Us (km/s),T(K),Us (km/s),T(K),Us (km/s),T(K)
14.964995,10264.364,16.319422,13315.836,10.92062,3562.3542,10.541838,3046.6289,14.230286,8163.7295,11.342443,4404.2241,12.129173,3250.0369,12.916787,6001.9136
14.974259,10301.641,16.362728,13560.146,11.058661,3813.1052,10.558683,3089.1614,14.331778,8098.1558,11.360904,4113.5195,12.130876,3354.9456,12.986277,5953.6333
14.999542,10129.541,16.385683,13241.954,11.17845,3807.6001,10.610482,2902.4602,14.339564,8146.5576,11.361115,4788.3418,12.132592,3346.4243,13.017242,5933.1279
15.034549,10208.835,16.457262,13690.897,11.222092,3816.2,10.664825,3052.77,14.37837,8299.9307,11.399772,4737.1001,12.134318,3458.189,13.020434,6030.9204
15.053479,10259.27,16.48765,13619.914,11.232301,3752.314,10.668857,3003.988,14.381634,8272.8213,11.432902,4656.9272,12.136059,3442.7769,13.035869,6188.3779
15.06217,10131.723,16.501862,14243.204,11.301088,3651.7063,10.723024,2972.9546,14.396516,8301.6172,11.4332,4717.0879,12.137813,3488.5735,13.047105,6048.7212
15.062176,10327.627,16.507698,14471.956,11.3034,3906.856,10.741045,3497.407,14.434737,8364.9844,11.440153,4098.7437,12.139579,3564.8318,13.047318,6112.7163
15.107197,9940.2119,16.542923,13866.655,11.381531,3658.7307,10.75034,2997.6245,14.437811,8300.2422,11.527975,4827.6714,12.141358,3581.9915,13.068025,6546.6128
15.123159,10308.361,16.569696,14472.736,11.389072,3679.2451,10.751809,2967.2664,14.456312,8298.3105,11.548212,4755.9907,12.143152,3537.0286,13.068123,6065.5801
15.13367,10218.74,16.589478,14749.294,11.394754,3723.8762,10.759099,3010.1975,14.468002,8350.1924,11.570752,4800.1177,12.144961,3623.7996,13.06979,6364.4028
15.141507,10452.203,16.603365,14252.189,11.39963,3451.3865,10.767485,3401.2766,14.473922,8453.4697,11.601121,4182.2085,12.146784,3706.2881,13.081805,6173.688
15.167271,10645.391,16.681076,14049.258,11.400075,3573.9651,10.784912,3000.2734,14.491418,8328.5625,11.60837,4094.3599,12.148622,3549.7759,13.091533,6004.7036
15.176498,10642.53,16.695827,14958.304,11.404244,3539.7375,10.804832,2819.3809,14.496428,8684.4648,11.626187,4357.4785,12.150475,3552.791,13.093767,6126.0273
15.212646,10657.053,16.70071,14105.223,11.421055,3598.4746,10.811911,2932.4258,14.496763,8797.541,11.629716,4683.9683,12.152343,3504.1167,13.095073,5987.4199
15.216,10289.485,16.701311,14961.59,11.433745,3728.4941,10.812424,3239.2385,14.498823,8429.0439,11.636039,4627.3574,12.154228,3458.4243,13.1043,5783.3271
15.237498,10499.229,16.737738,14270.685,11.449302,3823.4116,10.813114,2892.4988,14.50943,8298.0195,11.636746,4216.6147,12.156131,3534.5588,13.128959,5764
15.251918,10776.068,16.743637,14201.396,11.449862,3947.801,10.81434,2882.116,14.514156,8325.1553,11.678542,4560.0459,12.158049,3393.624,13.138112,6084.5059
15.253275,11216.219,16.758041,14841.743,11.458636,3474.1643,10.827669,3072.3757,14.526914,8399.5654,11.684937,4159.7354,12.159985,3497.3267,13.163627,6469.936
15.263941,11295.908,16.765381,14548.616,11.472281,3662.4854,10.828488,3007.9541,14.562656,9533.7939,11.687778,4446.3335,12.161939,3618.6785,13.166075,5802.228
15.267399,10303.034,16.783756,14414.353,11.472507,3845.7661,10.840029,3223.166,14.563192,8564.0576,11.689842,4299.1533,12.163911,3611.3,13.179688,6390.2383
15.277407,10914.312,16.790413,14556.557,11.473306,3424.9963,10.848929,2977.2747,14.572254,8594.7686,11.705708,4241.3896,12.165902,3606.2991,13.184884,6117.4287
15.279478,11180.79,16.795666,14943.445,11.482666,3728.0986,10.854383,2937.6138,14.581315,8548.7432,11.707801,4321.5132,12.167912,3469.3396,13.200843,6087.0049
15.295073,11138.025,16.813507,14823.916,11.494433,3641.3501,10.859076,2934.1948,14.58939,8627.4385,11.710156,4185.7578,12.169942,3534.9292,13.201705,6513.7563
15.314005,10803.427,16.849579,14371.145,11.501197,3598.4341,10.862298,2812.3774,14.606847,8332.29,11.715597,4188.5757,12.171992,3650.9272,13.213578,5973.0869
15.321992,11041.766,16.886221,14781.35,11.508092,3827.5876,10.870219,2912.8979,14.637547,8641.5547,11.722097,4267.6895,12.174062,3664.6572,13.224051,7413.4126
15.322001,10743.982,16.909014,14977.519,11.508404,3612.3147,10.888044,3208.7695,14.640967,9150.9863,11.723502,4633.9829,12.176153,3610.4824,13.231449,5969.8193
15.324117,10994.939,16.915438,14983.513,11.520683,3525.9775,10.888387,3226.7305,14.642506,8581.3311,11.74432,4161.0356,12.178264,3495.8867,13.23176,5983.9282
15.326577,11448.932,16.92584,15027.039,11.526179,3605.2007,10.889201,3118.7493,14.654658,8691.1992,11.748198,4130.8794,12.180396,3583.4968,13.23888,6013.8228
15.329396,10890.928,16.94244,15165.972,11.545254,4177.5981,10.899975,2955.8657,14.658101,9043.6191,11.749285,4084.1875,12.182549,3597.751,13.247225,6086.6475
15.355653,10796.166,16.992546,15226.704,11.547771,3844.4658,10.900861,3148.9429,14.667003,9234.6885,11.777868,4637.7837,12.184723,3569.8096,13.257011,6872.3213
15.451641,11074.885,17.032461,15199.387,11.582674,4051.5898,10.905494,3023.6782,14.695611,8877.8154,11.78122,4170.8457,12.186917,3629.4312,13.259217,6309.3921
