s77780_MgSiO3_Us	s77780_MgSiO3_Us_err	s77780_MgSiO3_Temp	s77780_MgSiO3_Temp_err	s77780_MgSiO3_Reflectivity	s77780_MgSiO3_Reflectivity_err
11.9	0.12390611	5091.2676	306.34528	0.0048266132	0.0025213773
12	0.12390611	5238.9463	363.42624	0.0049283765	0.0023830479
12.1	0.12390611	5256.8574	287.51859	0.0057797437	0.0025345713
12.2	0.12390611	5406.3765	310.99066	0.0061523514	0.0031879647
12.3	0.12390611	5408.4219	304.20871	0.0055263257	0.0030288859
12.4	0.12390611	5758.2646	326.40887	0.0052487552	0.0030098932
12.5	0.12390611	6009.8779	364.44812	0.0051731574	0.0030850843
12.6	0.12390611	6340.9741	381.6059	0.0055746627	0.0032518816
12.7	0.12390611	5823.8652	379.63382	0.0053662118	0.0032129497
12.8	0.12390611	6447.0435	368.97574	0.0050941138	0.0030594396
12.9	0.12390611	6717.0249	362.66403	0.006589442	0.0034852733
13	0.12390611	6814.0918	382.01474	0.006752857	0.003978855
13.1	0.12390611	6785.6069	355.65198	0.0063409302	0.0032090542
13.2	0.12390611	7166.8667	307.91394	0.0056147561	0.0029877506
13.3	0.12390611	7092.6919	317.76633	0.0047416557	0.0026166057
13.4	0.12390611	7178.6772	310.49454	0.005223827	0.0026765792
13.5	0.12390611	7293.6953	339.332	0.0054480257	0.0025985658
13.6	0.12390611	7424.7559	340.84229	0.0054450594	0.0026161275
13.7	0.12390611	7501.2798	374.93655	0.0058211279	0.003710259
13.8	0.12390611	7654.4917	396.39926	0.0060856557	0.0037673581
13.9	0.12390611	7770.0376	423.50757	0.0073362454	0.003390952
14	0.12390611	8012.8706	267.78937	0.0062940591	0.0035338041
14.1	0.12390611	7997.1694	439.1918	0.0065562706	0.0033101384
14.2	0.12390611	8466.7666	422.70755	0.0075825183	0.0038664397
14.3	0.12390611	8442.6982	394.97491	0.0093356026	0.0045521921
14.4	0.12390611	8641.9189	335.42307	0.010309714	0.0055149714
14.5	0.12390611	8973.6846	393.17685	0.010241077	0.0049341447
14.6	0.12390611	8985.7861	385.70901	0.012944621	0.0055291955
14.7	0.12390611	9221.0225	400.00259	0.015572215	0.0068962974
14.8	0.12390611	9572.208	319.40909	0.015344373	0.0059093065
14.9	0.12390611	9736.9258	476.10651	0.01458117	0.0052479981
15	0.12390611	9800.6855	461.37073	0.016165458	0.006096717
15.1	0.12390611	10275.316	426.50531	0.020630307	0.0080834068
15.2	0.12390611	10386.345	438.60309	0.023182053	0.0073889089
15.3	0.12390611	10490.031	414.47321	0.022140173	0.0067357039
15.4	0.12390611	10786.142	408.95563	0.019930547	0.0061344393
15.5	0.12390611	11154.128	448.52325	0.021972222	0.0078667486
15.6	0.12390611	11147.633	416.20169	0.020050332	0.008947948
15.7	0.12390611	11526.59	439.32294	0.020908739	0.010449317
15.8	0.12390611	11714.069	492.63635	0.021765519	0.011213069
15.9	0.12390611	11792.117	426.00101	0.023942864	0.012115943
16	0.12390611	11952.466	377.9747	0.025342658	0.014229792
16.1	0.12390611	12086.945	395.09647	0.026450748	0.015967544
